Agency,City,State,NTD ID,Organization Type,Reporter Type,UACE Code,UZA Name,Primary UZA Population,Agency VOMS,Bus,Bus with ULB Reported,Bus >= ULB,Articulated Bus,Articulated Bus with ULB Reported,Articulated Bus >= ULB,Over-the-Road Bus,Over-the-Road Bus with ULB Reported,Over-the-Road Bus >= ULB,Double Decker Bus,Double Decker Bus with ULB Reported,Double Decker Bus >= ULB,School Bus,SchoolBus with ULB Reported,School Bus >= ULB,Van,Van with ULB Reported,Van >= ULB,Cutaway,Cutaway with ULB Reported,Cutaway >= ULB,Automobile,Automobile with ULB Reported,Automobile >= ULB,Minivan,Minivan with ULB Reported,Minivan >= ULB,Sport Utility Vehicle,Sport Utility Vehicle with ULB Reported,Sport Utility Vehicle >= ULB,Trolleybus,TrolleyBus with ULB Reported,Trolleybus >= ULB,Heavy Rail Passenger Car,Heavy Rail Passenger Car with ULB Reported,Heavy Rail Passenger Car >= ULB,Light Rail Vehicle,Light Rail Vehicle with ULB Reported,Light Rail Vehicle >= ULB,Commuter Rail Passenger Coach,Commuter Rail Passenger Coach with ULB Reported,Commuter Rail Passenger Coach >= ULB,Commuter Rail Self-Propelled Passenger Car,Commuter Rail Self-Propelled Passenger Car with ULB Reported,Commuter Rail Self-Propelled Passenger Car >= ULB,Locomotive,Locomotive with ULB Reported,Locomotive >= ULB,Automated Guideway Vehicle,Automated Guideway Vehicle with ULB Reported,Automated Guideway Vehicle >= ULB,Vintage/Historic Trolley,Vintage/Historic Trolley with ULB Reported,Vintage/Historic Trolley >= ULB,Streetcar,Streetcar with ULB Reported,Streetcar >= ULB,Aerial Tramway,Aerial Tramway with ULB Reported,Aerial Tramway >= ULB,Monorail,Monorail >= ULB,Cable Car,Cable Car with ULB Reported,Cable Car >= ULB,Inclined Plane,Inclined Plane with ULB Reported,Inclined Plane >= ULB,Ferryboat,Ferryboat with ULB Reported,Ferryboat >= ULB,Other,Other with ULB Reported,Other >= ULB,Total Revenue Vehicles,Total with ULB Reported,Total Revenue Vehicles >= ULB,Automobiles,Automobiles >= ULB,Trucks and Other Rubber Tire Vehicles,Trucks and Other Rubber Tire Vehicles >= ULB,Steel Wheel Vehicles,Steel Wheel Vehicles >= ULB,Total Service Vehicles,Total Service Vehicles >= ULB
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,60008,Public Agency or Authority of Transit Service,Full Reporter,40429,"Houston, TX","5,853,575","1,328",683,683,151,100,100,0,401,363,0,0,0,0,0,0,0,83,83,0,214,214,0,25,25,0,169,169,0,197,197,0,0,0,0,0,0,0,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,947","1,909",151,22,22,370,237,0,0,392,259
"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",New York,NY,20078,"Unit of a Transit Agency, Reporting Separately",Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","1,149",16,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274,224,61,911,614,138,59,49,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,"1,262",903,240,0,0,818,239,144,93,962,332
MTA Bus Company,New York,NY,20188,"Unit of a Transit Agency, Reporting Separately",Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","1,134",492,492,232,141,141,0,525,525,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,158","1,158",524,25,20,129,40,0,0,154,60
Utah Transit Authority,Salt Lake City,UT,80001,Public Agency or Authority of Transit Service,Full Reporter,78499,"Salt Lake City, UT","1,178,533","1,063",465,465,55,25,25,0,64,64,45,0,0,0,0,0,0,279,234,68,183,183,14,0,0,0,270,270,106,0,0,0,0,0,0,0,0,0,115,115,0,50,50,13,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,467","1,422",301,39,37,667,207,7,1,713,245
"Pace-Suburban Bus Division, ADA Paratransit Services",Arlington Heights,IL,50182,Public Agency or Authority of Transit Service,Full Reporter,16264,"Chicago, IL--IN","8,671,746","1,015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,665,0,0,"1,238",0,0,48,0,0,5,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,981",0,0,0,0,0,0,0,0,0,0
Pace - Suburban Bus Division,Arlington Heights,IL,50113,Public Agency or Authority of Transit Service,Full Reporter,16264,"Chicago, IL--IN","8,671,746","1,012",658,658,119,0,0,0,35,35,0,0,0,0,0,0,0,413,313,136,534,529,402,48,0,0,198,193,193,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,911","1,728",850,49,49,148,71,0,0,197,120
Denver Regional Transportation District,Denver,CO,80006,Public Agency or Authority of Transit Service,Full Reporter,23527,"Denver--Aurora, CO","2,686,147",931,745,745,203,116,116,0,174,174,0,0,0,0,0,0,0,0,0,0,404,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,201,0,0,0,0,128,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,768","1,768",203,48,38,376,76,5,0,429,114
MTA Long Island Rail Road,Jamaica,NY,20100,"Unit of a Transit Agency, Reporting Separately",Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,134,0,"1,076","1,076",104,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,255","1,255",104,2,0,695,67,164,140,861,207
"Northeast Illinois Regional Commuter Railroad Corporation, dba: Metra",Chicago,IL,50118,Public Agency or Authority of Transit Service,Full Reporter,16264,"Chicago, IL--IN","8,671,746",889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,846,846,361,178,178,0,164,164,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,188","1,188",475,48,10,620,220,81,31,749,261
VIA Metropolitan Transit,San Antonio,TX,60011,Public Agency or Authority of Transit Service,Full Reporter,78580,"San Antonio, TX","1,992,689",873,480,480,15,19,19,0,0,0,0,0,0,0,0,0,0,246,0,0,139,139,0,31,0,0,89,0,0,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,031",640,15,13,4,158,40,0,0,171,44
Port Authority of Allegheny County,Pittsburgh,PA,30022,Public Agency or Authority of Transit Service,Full Reporter,69697,"Pittsburgh, PA","1,745,039",823,607,607,9,125,125,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,"1,078",815,9,96,51,279,60,2,1,377,112
"LifeStream Services , dba: The New Interurban",Yorktown,IN,50307,Corporation,Rural Reporter,,,,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,24,24,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,17,0,0,0,0,0,0,0,0
Metropolitan Atlanta Rapid Transit Authority,Atlanta,GA,40022,Public Agency or Authority of Transit Service,Full Reporter,3817,"Atlanta, GA","5,100,112",812,493,493,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,239,239,0,0,0,0,0,0,0,0,0,0,0,0,0,258,258,84,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,015","1,015",84,66,6,325,33,11,10,402,49
Dallas Area Rapid Transit,Dallas,TX,60056,Public Agency or Authority of Transit Service,Full Reporter,22042,"Dallas--Fort Worth--Arlington, TX","5,732,354",800,566,566,0,0,0,0,0,0,0,0,0,0,0,0,0,272,0,0,44,0,0,28,0,0,0,0,0,22,0,0,0,0,0,0,0,0,170,170,0,23,23,10,0,0,0,11,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,136",770,16,235,166,383,314,8,2,626,482
"California Vanpool Authority, dba: CalVans",Hanford,CA,90230,Public Agency or Authority of Transit Service,Full Reporter,36703,"Hanford, CA","66,638",758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,788,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,880,0,0,0,0,2,0,0,0,2,0
Tri-County Metropolitan Transportation District of Oregon,Portland,OR,00008,Public Agency or Authority of Transit Service,Full Reporter,71317,"Portland, OR--WA","2,104,238",753,653,653,0,0,0,0,0,0,0,0,0,0,0,0,0,104,84,20,157,157,82,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,141,25,1,1,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,147","1,041",127,4,1,343,117,0,0,347,118
"City and County of San Francisco, dba: San Francisco Municipal Transportation Agency",San Francisco,CA,90015,County or Local Government Unit or Department of Transportation,Full Reporter,78904,"San Francisco--Oakland, CA","3,515,933",752,348,348,30,224,224,0,0,0,0,0,0,0,0,0,0,0,0,0,142,135,0,6,6,0,23,22,0,0,0,0,278,278,0,0,0,0,243,243,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,37,29,0,0,0,0,0,0,0,0,0,"1,301","1,293",103,39,13,503,64,0,0,542,77
"OATS, Inc.",Columbia,MO,70133,Corporation,Rural Reporter,77770,"St. Louis, MO-IL","2,150,706",743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,49,9,580,580,322,11,11,8,154,154,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,794,794,418,0,0,0,0,0,0,0,0
Orange County Transportation Authority,Orange,CA,90036,Public Agency or Authority of Transit Service,Full Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",739,442,442,0,36,36,0,0,0,0,0,0,0,0,0,0,41,1,0,254,254,0,127,0,0,100,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,073",733,0,83,17,68,20,0,0,151,37
San Diego Metropolitan Transit System,San Diego,CA,90026,Public Agency or Authority of Transit Service,Full Reporter,78661,"San Diego, CA","3,070,300",728,382,382,0,113,113,0,24,24,0,0,0,0,0,0,0,0,0,0,147,147,0,139,0,0,16,0,0,1,0,0,0,0,0,0,0,0,177,177,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,001",845,3,2,2,20,4,0,0,22,6
Access Services,El Monte,CA,90157,Public Agency or Authority of Transit Service,Full Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,157,104,63,63,4,369,65,7,560,560,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,149",845,220,8,5,8,1,0,0,16,6
"City and County of Honolulu, dba: City & County of Honolulu DTS",Honolulu,HI,90002,County or Local Government Unit or Department of Transportation,Full Reporter,39889,"Honolulu, HI","853,252",683,355,355,108,80,80,9,0,0,0,0,0,0,0,0,0,112,16,16,205,191,74,22,0,0,55,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,844,642,207,20,20,67,20,0,0,87,40
"Regional Public Transportation Authority, dba: Valley Metro",Phoenix,AZ,90136,Public Agency or Authority of Transit Service,Full Reporter,69184,"Phoenix--Mesa--Scottsdale, AZ","3,976,313",661,285,285,24,37,37,10,7,7,0,0,0,0,0,0,0,266,266,0,114,61,6,0,0,0,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,995,656,40,3,2,19,3,0,0,22,5
Metropolitan Council,Minneapolis,MN,50154,County or Local Government Unit or Department of Transportation,Full Reporter,57628,"Minneapolis--St. Paul, MN","2,914,866",656,91,91,12,0,0,0,5,5,0,0,0,0,0,0,0,50,0,0,704,704,330,0,0,0,0,0,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,881,831,342,0,0,3,0,0,0,3,0
"Capital Metropolitan Transportation Authority, dba: Capital Metro",Austin,TX,60048,Public Agency or Authority of Transit Service,Full Reporter,4384,"Austin, TX","1,809,888",629,349,343,20,31,31,0,72,72,10,0,0,0,0,0,0,92,0,0,182,115,0,0,0,0,114,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,875,581,30,19,1,71,46,0,0,90,47
San Francisco Bay Area Rapid Transit District,Oakland,CA,90003,Public Agency or Authority of Transit Service,Full Reporter,78904,"San Francisco--Oakland, CA","3,515,933",580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,801,741,463,0,0,0,0,0,0,16,16,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,821,761,463,30,29,600,330,22,10,652,369
Regional Transportation Commission of Southern Nevada,Las Vegas,NV,90045,Public Agency or Authority of Transit Service,Full Reporter,47995,"Las Vegas--Henderson--Paradise, NV","2,196,623",577,159,159,0,168,168,0,0,0,0,75,75,35,0,0,0,0,0,0,404,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,806,806,35,0,0,60,0,0,0,60,0
Central Florida Regional Transportation Authority,Orlando,FL,40035,Public Agency or Authority of Transit Service,Full Reporter,65863,"Orlando, FL","1,853,896",550,289,289,102,37,37,0,0,0,0,0,0,0,0,0,0,49,49,23,155,155,19,0,0,0,46,46,0,59,59,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,635,635,177,8,5,104,79,0,0,112,84
Alameda-Contra Costa Transit District,Oakland,CA,90014,Public Agency or Authority of Transit Service,Full Reporter,78904,"San Francisco--Oakland, CA","3,515,933",546,433,433,27,87,87,0,7,7,7,15,15,0,0,0,0,0,0,0,179,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,721,721,34,60,39,94,45,0,0,154,84
Delaware Transit Corporation,Dover,DE,30075,Public Agency or Authority of Transit Service,Full Reporter,69076,"Philadelphia, PA--NJ--DE--MD","5,696,125",528,118,118,11,0,0,0,7,7,1,0,0,0,0,0,0,8,8,0,282,282,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415,415,42,27,14,81,1,0,0,108,15
"Broward County Board of County Commissioners, dba: Broward County Transit Division",Fort Lauderdale,FL,40029,County or Local Government Unit or Department of Transportation,Full Reporter,56602,"Miami--Fort Lauderdale, FL","6,077,522",509,319,319,11,45,45,0,49,49,0,0,0,0,0,0,0,181,175,0,161,155,0,44,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,799,787,11,0,0,97,3,0,0,97,3
Metro Transit,Minneapolis,MN,50027,"Unit of a Transit Agency, Reporting Separately",Full Reporter,57628,"Minneapolis--St. Paul, MN","2,914,866",507,384,384,22,166,166,27,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,91,0,13,13,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,681,681,49,12,6,328,112,0,0,340,118
"City of Phoenix Public Transit Department , dba: Valley Metro",Phoenix,AZ,90032,County or Local Government Unit or Department of Transportation,Full Reporter,69184,"Phoenix--Mesa--Scottsdale, AZ","3,976,313",507,384,384,0,98,98,0,0,0,0,0,0,0,0,0,0,0,0,0,133,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,615,615,0,45,16,18,0,0,0,63,16
Santa Clara Valley Transportation Authority,San Jose,CA,90013,Public Agency or Authority of Transit Service,Full Reporter,79039,"San Jose, CA","1,837,446",496,379,368,110,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,44,44,17,55,55,55,78,78,78,0,0,0,0,0,0,40,40,0,98,98,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,770,759,261,104,47,245,146,3,3,352,196
Montachusett Regional Transit Authority,Fitchburg,MA,10061,Public Agency or Authority of Transit Service,Full Reporter,49096,"Leominster--Fitchburg, MA","111,790",493,19,19,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,139,139,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,158,1,0,0,28,5,0,0,28,5
Snohomish County Public Transportation Benefit Area Corporation,Everett,WA,00029,Public Agency or Authority of Transit Service,Full Reporter,80389,"Seattle--Tacoma, WA","3,544,011",481,106,106,0,107,107,0,0,0,0,68,68,0,0,0,0,339,339,44,52,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,672,672,44,1,0,112,10,0,0,113,10
