Agency,City,State,NTD ID,Organization Type,Reporter Type,UACE Code,UZA Name,Primary UZA Population,Agency VOMS,Vehicle Type,0,1,2,3,4,5,6,7,8,9,10,11,12,13-15,16-20,21-25,26-30,31-60,60+,Total Vehicles,Average Age of Fleet (in Years),Average Lifetime Miles per Vehicle
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,00001,County or Local Government Unit or Department of Transportation,Full Reporter,80389,"Seattle--Tacoma, WA","3,544,011","2,029",Ferryboat,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,3,10.67,"180,867"
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,00001,County or Local Government Unit or Department of Transportation,Full Reporter,80389,"Seattle--Tacoma, WA","3,544,011","2,029",Cutaway,0,0,54,112,51,6,60,21,34,6,20,55,31,9,0,0,0,0,0,459,6.12,"156,276"
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,00001,County or Local Government Unit or Department of Transportation,Full Reporter,80389,"Seattle--Tacoma, WA","3,544,011","2,029",Bus,0,19,0,65,129,9,0,3,118,2,30,76,93,0,0,0,0,0,0,544,7.37,"260,067"
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,00001,County or Local Government Unit or Department of Transportation,Full Reporter,80389,"Seattle--Tacoma, WA","3,544,011","2,029",Automobiles (Service),0,8,25,13,0,11,10,15,7,4,18,2,0,7,0,0,0,0,0,120,,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,00001,County or Local Government Unit or Department of Transportation,Full Reporter,80389,"Seattle--Tacoma, WA","3,544,011","2,029",Articulated Bus,0,20,0,28,84,38,168,37,0,43,64,64,56,49,0,0,0,0,0,651,7.61,"258,895"
Massachusetts Bay Transportation Authority,Boston,MA,10003,Public Agency or Authority of Transit Service,Full Reporter,9271,"Boston, MA--NH","4,382,009","2,018",Vintage Trolley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,78.00,"451,298"
Massachusetts Bay Transportation Authority,Boston,MA,10003,Public Agency or Authority of Transit Service,Full Reporter,9271,"Boston, MA--NH","4,382,009","2,018",Van,72,92,0,135,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,399,2.50,"76,177"
Massachusetts Bay Transportation Authority,Boston,MA,10003,Public Agency or Authority of Transit Service,Full Reporter,9271,"Boston, MA--NH","4,382,009","2,018",Trucks and other Rubber Tire Vehicles (Service),17,64,186,74,47,80,117,191,60,63,63,51,26,85,81,38,4,17,0,"1,264",,
Massachusetts Bay Transportation Authority,Boston,MA,10003,Public Agency or Authority of Transit Service,Full Reporter,9271,"Boston, MA--NH","4,382,009","2,018",Trolleybus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,28,18.00,"332,440"
Massachusetts Bay Transportation Authority,Boston,MA,10003,Public Agency or Authority of Transit Service,Full Reporter,9271,"Boston, MA--NH","4,382,009","2,018",Steel Wheel Vehicles (Service),0,0,3,1,0,5,0,15,0,0,2,0,0,12,16,12,3,21,0,90,,
Massachusetts Bay Transportation Authority,Boston,MA,10003,Public Agency or Authority of Transit Service,Full Reporter,9271,"Boston, MA--NH","4,382,009","2,018",Light Rail Vehicle,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,112,0,91,0,227,26.36,"702,643"
Massachusetts Bay Transportation Authority,Boston,MA,10003,Public Agency or Authority of Transit Service,Full Reporter,9271,"Boston, MA--NH","4,382,009","2,018",Heavy Rail Passenger Car,0,0,0,42,0,0,0,0,0,0,0,0,0,94,0,0,84,252,0,472,31.33,"1,601,983"
Massachusetts Bay Transportation Authority,Boston,MA,10003,Public Agency or Authority of Transit Service,Full Reporter,9271,"Boston, MA--NH","4,382,009","2,018",Ferryboat,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,2,6,0,14,27.57,"223,357"
Massachusetts Bay Transportation Authority,Boston,MA,10003,Public Agency or Authority of Transit Service,Full Reporter,9271,"Boston, MA--NH","4,382,009","2,018",Commuter Rail Passenger Coach,0,0,0,0,0,0,0,0,0,0,73,0,0,0,48,17,0,255,0,393,27.43,"1,562,992"
Massachusetts Bay Transportation Authority,Boston,MA,10003,Public Agency or Authority of Transit Service,Full Reporter,9271,"Boston, MA--NH","4,382,009","2,018",Commuter Rail Locomotive,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,43,0,81,24.81,"1,045,704"
Massachusetts Bay Transportation Authority,Boston,MA,10003,Public Agency or Authority of Transit Service,Full Reporter,9271,"Boston, MA--NH","4,382,009","2,018",Bus,0,0,60,194,0,8,324,0,60,0,0,0,0,155,153,0,0,0,0,954,8.16,"237,769"
Massachusetts Bay Transportation Authority,Boston,MA,10003,Public Agency or Authority of Transit Service,Full Reporter,9271,"Boston, MA--NH","4,382,009","2,018",Automobiles (Service),0,0,0,0,0,10,0,9,7,30,1,2,3,0,1,0,0,0,0,63,,
Massachusetts Bay Transportation Authority,Boston,MA,10003,Public Agency or Authority of Transit Service,Full Reporter,9271,"Boston, MA--NH","4,382,009","2,018",Automobile,0,136,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305,2.11,"54,934"
Massachusetts Bay Transportation Authority,Boston,MA,10003,Public Agency or Authority of Transit Service,Full Reporter,9271,"Boston, MA--NH","4,382,009","2,018",Articulated Bus,0,0,0,5,1,0,44,0,0,0,0,0,0,23,32,0,0,0,0,105,11.03,"243,169"
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,30019,Public Agency or Authority of Transit Service,Full Reporter,69076,"Philadelphia, PA--NJ--DE--MD","5,696,125","1,962",Trucks and other Rubber Tire Vehicles (Service),0,26,31,5,49,19,61,25,12,17,13,39,48,84,84,10,6,18,2,549,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,30019,Public Agency or Authority of Transit Service,Full Reporter,69076,"Philadelphia, PA--NJ--DE--MD","5,696,125","1,962",Trolleybus,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,38,14.00,"314,830"
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,30019,Public Agency or Authority of Transit Service,Full Reporter,69076,"Philadelphia, PA--NJ--DE--MD","5,696,125","1,962",Steel Wheel Vehicles (Service),0,0,0,0,3,0,3,4,2,0,0,0,1,10,4,12,3,24,13,79,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,30019,Public Agency or Authority of Transit Service,Full Reporter,69076,"Philadelphia, PA--NJ--DE--MD","5,696,125","1,962",Light Rail Vehicle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,119,41.26,"848,628"
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,30019,Public Agency or Authority of Transit Service,Full Reporter,69076,"Philadelphia, PA--NJ--DE--MD","5,696,125","1,962",Heavy Rail Passenger Car,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,20,116,0,332,30.10,"1,332,442"
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,30019,Public Agency or Authority of Transit Service,Full Reporter,69076,"Philadelphia, PA--NJ--DE--MD","5,696,125","1,962",Cutaway,0,71,0,68,85,77,150,0,5,0,0,0,0,0,0,0,0,0,0,456,4.25,"98,147"
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,30019,Public Agency or Authority of Transit Service,Full Reporter,69076,"Philadelphia, PA--NJ--DE--MD","5,696,125","1,962",Commuter Rail Self-Propelled Passenger Car,0,0,0,0,0,0,0,0,0,0,41,52,27,0,0,0,0,231,0,351,34.54,"1,567,370"
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,30019,Public Agency or Authority of Transit Service,Full Reporter,69076,"Philadelphia, PA--NJ--DE--MD","5,696,125","1,962",Commuter Rail Passenger Coach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,35,0,45,32.11,"760,621"
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,30019,Public Agency or Authority of Transit Service,Full Reporter,69076,"Philadelphia, PA--NJ--DE--MD","5,696,125","1,962",Commuter Rail Locomotive,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3.00,"120,657"
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,30019,Public Agency or Authority of Transit Service,Full Reporter,69076,"Philadelphia, PA--NJ--DE--MD","5,696,125","1,962",Bus,0,115,0,215,130,6,119,0,89,0,0,100,120,220,117,0,0,0,0,"1,231",8.31,"284,284"
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,30019,Public Agency or Authority of Transit Service,Full Reporter,69076,"Philadelphia, PA--NJ--DE--MD","5,696,125","1,962",Automobiles (Service),0,0,1,1,129,3,11,13,0,1,0,1,5,0,0,0,0,0,0,165,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,30019,Public Agency or Authority of Transit Service,Full Reporter,69076,"Philadelphia, PA--NJ--DE--MD","5,696,125","1,962",Articulated Bus,0,0,0,0,0,0,32,40,55,53,0,0,0,0,0,0,0,0,0,180,7.72,"177,680"
Maryland Transit Administration,Baltimore,MD,30034,Government Unit or Department of Transportation,Full Reporter,4843,"Baltimore, MD","2,212,038","1,486",Trucks and other Rubber Tire Vehicles (Service),0,29,35,42,68,61,37,19,11,12,6,10,5,22,8,5,7,1,0,378,,
Maryland Transit Administration,Baltimore,MD,30034,Government Unit or Department of Transportation,Full Reporter,4843,"Baltimore, MD","2,212,038","1,486",Steel Wheel Vehicles (Service),0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,2,1,0,9,,
Maryland Transit Administration,Baltimore,MD,30034,Government Unit or Department of Transportation,Full Reporter,4843,"Baltimore, MD","2,212,038","1,486",Sports Utility Vehicle,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,2.00,"4,684"
Maryland Transit Administration,Baltimore,MD,30034,Government Unit or Department of Transportation,Full Reporter,4843,"Baltimore, MD","2,212,038","1,486",Minivan,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3.00,"36,376"
Maryland Transit Administration,Baltimore,MD,30034,Government Unit or Department of Transportation,Full Reporter,4843,"Baltimore, MD","2,212,038","1,486",Light Rail Vehicle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,33,2,0,53,27.83,"1,191,987"
Maryland Transit Administration,Baltimore,MD,30034,Government Unit or Department of Transportation,Full Reporter,4843,"Baltimore, MD","2,212,038","1,486",Heavy Rail Passenger Car,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,96,0,100,37.54,"825,234"
Maryland Transit Administration,Baltimore,MD,30034,Government Unit or Department of Transportation,Full Reporter,4843,"Baltimore, MD","2,212,038","1,486",Cutaway,0,50,0,179,19,140,0,0,66,0,0,0,0,0,0,0,0,0,0,454,4.17,"139,004"
Maryland Transit Administration,Baltimore,MD,30034,Government Unit or Department of Transportation,Full Reporter,4843,"Baltimore, MD","2,212,038","1,486",Commuter Rail Passenger Coach,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,63,10,50,0,177,21.41,"283,160"
Maryland Transit Administration,Baltimore,MD,30034,Government Unit or Department of Transportation,Full Reporter,4843,"Baltimore, MD","2,212,038","1,486",Commuter Rail Locomotive,0,0,0,0,0,8,0,0,0,0,0,0,0,26,6,0,0,8,0,48,19.44,"324,518"
Maryland Transit Administration,Baltimore,MD,30034,Government Unit or Department of Transportation,Full Reporter,4843,"Baltimore, MD","2,212,038","1,486",Bus,0,71,0,99,72,43,129,0,51,45,97,12,45,35,0,0,0,0,0,699,6.52,"333,706"
Maryland Transit Administration,Baltimore,MD,30034,Government Unit or Department of Transportation,Full Reporter,4843,"Baltimore, MD","2,212,038","1,486",Automobiles (Service),0,0,0,0,0,3,12,2,0,0,0,0,7,1,2,0,0,0,0,27,,
Maryland Transit Administration,Baltimore,MD,30034,Government Unit or Department of Transportation,Full Reporter,4843,"Baltimore, MD","2,212,038","1,486",Automobile,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6.00,"11,905"
Maryland Transit Administration,Baltimore,MD,30034,Government Unit or Department of Transportation,Full Reporter,4843,"Baltimore, MD","2,212,038","1,486",Articulated Bus,0,0,0,40,0,0,0,0,0,10,0,12,0,0,0,0,0,0,0,62,5.52,"267,909"
